Código;Descripción;C.p.a
4117;Papa Rellena Con Zarza Criolla;1,20
4118;Humitas;2,00
4152;Club Sandwich;20,00
4137;Hamburguesa A Lo Pobre Con Papas Fritas;8,00
4140;Hamburguesa Doble Carne Con Papas Fritas;5,00
4028;Milanesa A Lo Pobre;1,00
4011;Milanesa Con Ensalada Fresca Y Papa Frita;8,00
4027;Milanesa Con Tallarines Verdes;5,00
4184;Pechuga A La Plancha Con Ensalada Fresca Y Papa Frita;18,00
4200;Pechuga A Lo Pobre;15,25
4191;Milanesa De Pollo Completa;8,00
4208;Leche De Tigre;2,50
4165;Salchi Frankfurter;17,71
4167;Salchi Royal;5,00
4164;Salchibroaster;5,00
4170;Salchipapa 2x1 + Bebida;8,47
4162;Salchipapa A Lo Pobre;11,02
4161;Salchipapa Chica;4,00
4172;Combo 1:salchipapa + Gaseosa 300 Ml;1,00
4250;Lomo Saltado;14,41
4236;Pollo Saltado;12,71
4267;Caldo De Gallina Sin Presa;10,00
4285;Menu Economico Sin Postre O Entrada;5,47
4281;Sopa A La Minuta;1,00
4277;Sopa Criolla;1,00
4271;Sopa Dieta De Pollo;1,00
4299;Tallarin Saltado De Carne;14,41
4295;Tallarin Saltado De Pollo;12,71
4416;Tallarines Al Alfredo;1,00
4418;Duo De Pasta + Bebida;14,41
4419;Duo De Pastas;3,50
4420;Spaguetti A La Huancaina (con Anticucho);10,00
4341;Tallarines A La Huancaina Con Lomo;1,00
4173;Dieta Solida;3,50
3099;Pan De Hamburguesa Con Pollo;0,58
3116;Panini Mixto;5,51
2188;Aguaymanto Picado 6 Onz.;1,00
2189;Arandanos 6 Onz.;10,59
2175;Ensalada De Frutas Chica;5,93
2177;Ensalada De Frutas Grande;2,00
2193;Manzana Chilena Roja Sn;1,20
2181;Papaya Picada 1/2 Litro;4,45
2196;Pera Fruta;0,90
2179;Piña Golden Picada 1/2 Litro;7,20
2192;Platano De Isla Sn;1,00
2191;Platano De Seda Sn;0,70
2183;Sandia Picada 1/2 Litro;1,00
2190;Tuna Picada 6 Onz.;1,00
1035;Parfait Con Granola 12 Onza;6,78
2350;Marciano De Fruta Con Leche;0,50
3085;Focaccia;2,12
3087;Pizza De Americana;6,78
3086;Pizza Hawaiana;6,78
3123;Pizza Pepperoni;2,80
2211;Arroz Zambito 8 Onz.;3,50
2198;Flan 8 Onz;3,39
2199;Flan Con Gelatina 12 Onz;1,00
2205;Gelatina Batida De Fresa 8 Onz.;1,00
2206;Gelatina Batida De Piña 8 Onz.;1,00
